id,Cluster,ST,Year,Country,Site
ERR6349917,1,ST307,2015,Zambia,Blood
ERR6349929,1,ST307,2015,Zambia,Blood
ERR6350132,1,ST307,2015,Zambia,Blood
ERR6350134,1,ST307,2015,Zambia,Blood
ERR6350135,1,ST307,2015,Zambia,Blood
ERR6350136,1,ST307,2015,Zambia,Blood
ERR6350147,1,ST307,2015,Zambia,Blood
ERR6350148,1,ST307,2015,Zambia,Blood
ERR6350149,1,ST307,2015,Zambia,Blood
ERR6350150,1,ST307,2015,Zambia,Blood
ERR6350151,1,ST307,2015,Zambia,Blood
ERR6350152,1,ST307,2015,Zambia,Blood
ERR6350197,1,ST307,2015,Zambia,Blood
ERR6350198,1,ST307,2015,Zambia,Blood
ERR6350199,1,ST307,2015,Zambia,Blood
ERR6350200,1,ST307,2015,Zambia,Blood
ERR6350210,1,ST307,2015,Zambia,Blood
ERR6350212,1,ST307,2015,Zambia,Blood
ERR6350763,1,ST307,2015,Zambia,Blood
ERR6350765,1,ST307,2015,Zambia,Blood
ERR6350775,1,ST307,2015,Zambia,Blood
ERR6350800,1,ST307,2015,Zambia,Blood
ERR6350801,1,ST307,2015,Zambia,Blood
ERR6350803,1,ST307,2015,Zambia,Blood
ERR6350835,1,ST307,2015,Zambia,Blood
ERR6350897,1,ST307,2015,Zambia,Blood
ERR6350909,1,ST307,2015,Zambia,Blood
ERR6350930,1,ST307,2015,Zambia,Blood
ERR6351014,1,ST307,2015,Zambia,Blood
ERR6351015,1,ST307,2015,Zambia,Blood
ERR15165510,1,ST307,2015,Zambia,Blood
ERR15165511,1,ST307,2015,Zambia,Blood
ERR15165538,1,ST307,2015,Zambia,Blood
ERR15165539,1,ST307,2015,Zambia,Blood
ERR15165633,1,ST307,2015,Zambia,Blood
ERR15165634,1,ST307,2015,Zambia,Blood
ERR15165635,1,ST307,2015,Zambia,Blood
ERR15165636,1,ST307,2015,Zambia,Blood
ERR15165637,1,ST307,2015,Zambia,Blood
ERR15165639,1,ST307,2015,Zambia,Blood
ERR15165640,1,ST307,2015,Zambia,Blood
ERR15165641,1,ST307,2015,Zambia,Blood
ERR15165642,1,ST307,2015,Zambia,Blood
ERR15165644,1,ST307,2015,Zambia,Blood
ERR15165647,1,ST307,2015,Zambia,Blood
ERR15165648,1,ST307,2015,Zambia,Blood
ERR15165649,1,ST307,2015,Zambia,Blood
ERR6349921,2,ST307,2016,Zambia,Blood
ERR6349922,2,ST307,2016,Zambia,Blood
ERR6349926,2,ST307,2016,Zambia,Blood
ERR6349935,2,ST307,2016,Zambia,Blood
ERR6350156,2,ST307,2016,Zambia,Blood
ERR6350203,2,ST307,2016,Zambia,Blood
ERR6350204,2,ST307,2016,Zambia,Blood
ERR6350217,2,ST307,2016,Zambia,Blood
ERR6350218,2,ST307,2016,Zambia,Blood
ERR6350768,2,ST307,2016,Zambia,Blood
ERR6350793,2,ST307,2016,Zambia,Blood
ERR6350805,2,ST307,2016,Zambia,Blood
ERR6350813,2,ST307,2016,Zambia,Blood
ERR6350820,2,ST307,2016,Zambia,Blood
ERR6350852,2,ST307,2016,Zambia,Blood
ERR6350868,2,ST307,2016,Zambia,Blood
ERR6350879,2,ST307,2016,Zambia,Blood
ERR6350885,2,ST307,2016,Zambia,Blood
ERR6350912,2,ST307,2016,Zambia,Blood
ERR6350923,2,ST307,2016,Zambia,Blood
ERR6350924,2,ST307,2016,Zambia,Blood
ERR6350928,2,ST307,2016,Zambia,Blood
ERR6351006,2,ST307,2016,Zambia,Blood
ERR6351007,2,ST307,2016,Zambia,Blood
ERR6351020,2,ST307,2016,Zambia,Blood
ERR6350196,2,ST307,2016,Zambia,Blood
ERR6350787,2,ST307,2016,Zambia,Blood
ERR6350799,2,ST307,2016,Zambia,Blood
