"","ERR6350131","ERR6350206","ERR6350761","ERR6350762","ERR6350777","ERR6350791","ERR15165532","ERR15165534","ERR15165536","Reference"
"ERR6350131",0,432,412,410,412,411,413,411,414,394
"ERR6350206",432,0,388,388,388,388,389,387,389,368
"ERR6350761",412,388,0,0,0,0,7,5,6,177
"ERR6350762",410,388,0,0,0,0,7,5,6,177
"ERR6350777",412,388,0,0,0,0,7,5,6,177
"ERR6350791",411,388,0,0,0,0,7,5,6,176
"ERR15165532",413,389,7,7,7,7,0,2,9,178
"ERR15165534",411,387,5,5,5,5,2,0,7,176
"ERR15165536",414,389,6,6,6,6,9,7,0,179
"Reference",394,368,177,177,177,176,178,176,179,0
